,Title,Review,Collections
162,gandhi,,"Biographies of leaders,Personalities and their transformation:Biographies of leaders,Personalities and their transformation"
163,the last samurai,"Synopsis__: custer's army ex-soldier becomes samurai in captivity during revolt against meiji restoration
Comments__:  4/4. - communicates noble parts of japanese ethos well.","Biographies of leaders,Personalities and their transformation:Biographies of leaders,Personalities and their transformation"
164,lawrence of arabia,,"Biographies of leaders,Personalities and their transformation:Biographies of leaders,Personalities and their transformation"
165,geronimo,,"Biographies of leaders,Personalities and their transformation:Biographies of leaders,Personalities and their transformation"
166,braveheart,"Synopsis__:  scotsman saves scotland
Comments__:","Biographies of leaders,Personalities and their transformation:Biographies of leaders,Personalities and their transformation"
167,and starring pancho villa as himself,,"Biographies of leaders,Personalities and their transformation:Biographies of leaders,Personalities and their transformation"
168,patton,,"Biographies of leaders,Personalities and their transformation:Biographies of leaders,Personalities and their transformation"
169,chandragupt,"Synopsis__:  retelling of the legend of chandragupta-maurya and his AchArya chANakya - only saw few episodes
Comments__:","Biographies of leaders,Personalities and their transformation:Biographies of leaders,Personalities and their transformation"
170,bAjIrao mastAnI,"Synopsis__: For all the obvious problems (eg. historical accuracy, twisting the main characters) of the movie, it has the following merits:
* It presents the much neglected bAjI rAv in a way that is attractive to the general romantic audience. Such half-positive portrayals of brAhmaNa-s (and polygamy, and widows) is rare.
* bAjI rAv is presented as an alpha male. This is accurate, and again attractive.
* It shows period weaponry, the peshvA court, quite a few marATha + brAhmaNa mannerisms and refrains well.
* The hindu agenda of the marATha-s is not totally buried (despite the persistent anti-islamism mocking). It's easy to see in the early parts especially.
* Just in terms of simple dramatic quality, there is plenty of juice (which far exceeds the current star wars crap - https://www.facebook.com/vishvas.vasuki/posts/10153425133772989 ) - shRngAra (love) of the vipralambha type as well as the sambhOga type, vIra (many likable battle scenes), bIbhatsa (disgust at some people). Even the dialogues and poetry (recited and sung) were a pleasant surprise - there was some sophisticated use of ornamentation, such as upamA and anyokti.
Comments__:","Biographies of leaders,Personalities and their transformation:Biographies of leaders,Personalities and their transformation"
171,Lincoln,"Synopsis__: Intelligent Lincoln pushes through amendment banning slavery just before the defeat of south, propelled by eloquent idealism (quoting Euclid to a telegraph engineer), practical politics of dispensing favorable jobs/ resolutions to win over votes. Sometimes emotionally unstable wife, rebellious teen son wanting to join the fight, a kid son playing in white house.
Comments__:","Biographies of leaders,Personalities and their transformation:Biographies of leaders,Personalities and their transformation"
172,Jobs,"Synopsis__: The abrasive yet visionary product-excellence genius of Steve Jobs, founder of Apple.
Comments__:","Biographies of leaders,Personalities and their transformation:Biographies of leaders,Personalities and their transformation"
173,Heaven and Earth,"Synopsis__: The rivalry between kAgeTora and TakeDa both spiritual men. Many fascinating ritual details - vaishravaNa-homa, marIchi image, raNa-dIxA, adoring the spirit of the deceased.
https://www.youtube.com/watch?v=n4AV_Gv_59k
Comments__: communicates the deep hinduized japanese spiritual ethos well.","Biographies of leaders,Personalities and their transformation:Biographies of leaders,Personalities and their transformation"
174,Death of a Tea Master,"Synopsis__: Stubborn tea master and his two followers seperately kill themselves rather than be sycophants of Nobunaga ODa. Poem on the wall of the tea room when the unspoken pact is made: ""void takes nothing, death takes everything"". Death is a reminder to return to the way of honor, this call is well heeded. Seen through the eyes of a devoted disciple, who talks to various survivors of these incidents. 
Comments__: Good exposition of the honorable way of tea, centered on the tea ceremony.","Biographies of leaders,Personalities and their transformation:Biographies of leaders,Personalities and their transformation"
175,Gambler,"Synopsis__: Gambling addiction. The torment of growing up rich in a broken family. A meaningless career (teaching english literature mostly to unininterested folks with talents elsewhere) How universities pass sport's stars through. A love story. The decline of literature. Attractive character who surprisingly (?) turns his situation around when he finds love by the use of his brainy orchestration + a risky gamble.
Comments__: Many memorable dialogs. (""Fuck-you money"") Many memorable scenes. Attractive hero: live true or die proud type, cool with dangerous and obnoxious people.","Biographies of leaders,Personalities and their transformation:Biographies of leaders,Personalities and their transformation"
176,good will hunting,"Synopsis__:  downtown math genius doing manual labor finds love and spurns math.
Comments__:","Personalities and their transformation:Relationships of people with extra-ordinary ablities.,Personalities and their transformation,Relationships of people with extra-ordinary ablities."
177,finding forrester,,"Personalities and their transformation:Relationships of people with extra-ordinary ablities.,Personalities and their transformation,Relationships of people with extra-ordinary ablities."
178,the magician,"Synopsis__:  kids with magic talent and music talent
Comments__:","Personalities and their transformation:Relationships of people with extra-ordinary ablities.,Personalities and their transformation,Relationships of people with extra-ordinary ablities."
179,shakespear,,"Personalities and their transformation:Relationships of people with extra-ordinary ablities.,Personalities and their transformation,Relationships of people with extra-ordinary ablities."
180,school of rock,,"Personalities and their transformation:Relationships of people with extra-ordinary ablities.,Personalities and their transformation,Relationships of people with extra-ordinary ablities."
181,Salieri,"Synopsis__:  A good composer, jealous of the reckless hard-working genius Mozart, admires him yet spikes his career and feeds his madness, leading to his early death
Comments__:  4/4.","Personalities and their transformation:Relationships of people with extra-ordinary ablities.,Personalities and their transformation,Relationships of people with extra-ordinary ablities."
182,waynes world,"Synopsis__:  garage tv show
Comments__:","Personalities and their transformation,Personalities and their transformation:People chasing dreams despite adversity.,People chasing dreams despite adversity."
183,pursuit of happyness,"Synopsis__:  story of bone density scanner salesman becoming a stock brocker after being separated, while homeless.
Comments__:","Personalities and their transformation,Personalities and their transformation:People chasing dreams despite adversity.,People chasing dreams despite adversity."
184,Bucket list,"Synopsis__:  two terminally ill people teach each other to have fun and become soft.
Comments__:","Personalities and their transformation,Personalities and their transformation:People chasing dreams despite adversity.,People chasing dreams despite adversity."
185,anand,"Synopsis__:  terminally ill but compassionate, wise and happy person.
Comments__:","Personalities and their transformation,Personalities and their transformation:People chasing dreams despite adversity.,People chasing dreams despite adversity."
186,Ikiru (To live),"Synopsis__:  a listless nihonjin bureaucrat finds he has cancer, regrets that he has not truly lived life well - just been doing busy-work to raise his son, lives the final months with meaning and passion - obstinately persisting/ insisting in the machine to build a park over a cesspool - touching colleagues' conscience. Also shows a japanese society taken over by American culture, music, attitudes
Comments__:  4/4.","Personalities and their transformation,Personalities and their transformation:People chasing dreams despite adversity.,People chasing dreams despite adversity."
187,wild strawberries,"Synopsis__:  old cold, moral, ruthless, lonely professor reminisces past causes and events, sees effect on family. He finds guilt, value in warmth and niceness.
Comments__:","Personalities and their transformation,Personalities and their transformation:People chasing dreams despite adversity.,People chasing dreams despite adversity."
188,Taxi driver,"Synopsis__:  an insomniac inarticulate taxi driver wants to discover self-worth in new york, is irritated by prostitution and petty crime on streets, tries dating a 'clean uptown girl' to get to his goal but fails, next turns to gun-fight training for assassinating the person she worked for but fails, next rescues a child-prostitute after killing 3 gangsters - thus finds self worth and peace
Comments__:  4/4.","Personalities and their transformation,Personalities and their transformation:People chasing dreams despite adversity.,People chasing dreams despite adversity."
189,holy man,"Synopsis__: Selfless G preaches enlightenment compassion and prajJNA. Helps TV sales show maker. Is released.
Comments__:","Understanding, compassion.,Personalities and their transformation,Personalities and their transformation:Understanding, compassion."
190,prince of the tides,"Synopsis__:  lorenstein the unhappy ny jewish shrink and the southern male parent of a patient fall in love.
Comments__:","Understanding, compassion.,Personalities and their transformation,Personalities and their transformation:Understanding, compassion."
191,dersu uzala,"Synopsis__:  Siberian native guide to soviet explorers plants rice for chinese spilling in, suffers from guilt due to killing a tiger, prefers the open sky and woods far more than Russian cities.
Comments__:","Understanding, compassion.,Personalities and their transformation,Personalities and their transformation:Understanding, compassion."
192,anger management,"Synopsis__:  crazy psychologist
Comments__:","Understanding, compassion.,Personalities and their transformation,Personalities and their transformation:Understanding, compassion."
193,pushing tin,"Synopsis__:  air traffic controller helps colleague regain balance
Comments__:","Understanding, compassion.,Personalities and their transformation,Personalities and their transformation:Understanding, compassion."
194,bawarchi,,"Understanding, compassion.,Personalities and their transformation,Personalities and their transformation:Understanding, compassion."
195,up!,"Synopsis__: An old man flies his home to paradise falls fulfilling lifelong dream he had with dead wife, inspired my explorer Munz. Helps (initially reluctantly) scout kid, a dog with a talking collar, a rare bird Munz wants to capture to recover his reputation. In the process enjoys life again.
Comments__: 4/4. Compassion of the old man made him very lovable.","Understanding, compassion.,Personalities and their transformation,Personalities and their transformation:Understanding, compassion."
196,enigma,,"Battles, war.,Battles, war.:Pivotal events.,Pivotal events."
197,platoon,"Synopsis__: crazy 'nam war
Comments__:","Battles, war.,Battles, war.:Pivotal events.,Pivotal events."
198,the beast,"Synopsis__:  honorable jehadis in afghanistan take down soviet tank goliath after high struggle
Comments__:","Battles, war.,Battles, war.:Pivotal events.,Pivotal events."
199,Black Hawk Down,"Synopsis__:  US delta force kidnapping of warlord in mogadishu goes awry
Comments__:","Battles, war.,Battles, war.:Pivotal events.,Pivotal events."
200,alamo,"Synopsis__:  texan independece and general santa anna
Comments__:","Battles, war.,Battles, war.:Pivotal events.,Pivotal events."
201,citizen cohn,"Synopsis__:  the schemer behind mc carthy
Comments__:","Battles, war.,Battles, war.:Pivotal events.,Pivotal events."
202,Waltz with Bashir,"Synopsis__:  massacre of palestinians by christian fighters in lebanon and the jewish soldiers' guilt therein.
Comments__:","Battles, war.,Battles, war.:Pivotal events.,Pivotal events."
203,Border,"Synopsis__: an adaptation from real life events that happened at the Battle of Longewala fought in Rajasthan (Western Theatre) during the Indo-Pakistani War of 1971. An undersupplied army troop of the punjab regiment blocks (in defiance of higher orders) a pAkistAnI tank troop in a night long seige, until rescue at daybreak by IAF Hunters (which can't fly at night). Involves many sardaarjii-s, a BSF rAjaputra guide.
Comments__: moving depiction of newly wed and betrothed soliders being dragged away to war, of soldiers eager and not-so-eager to rush to defence of the motherland despite problems at home. Good poetry in songs.
a tad sickular, and too tolerant of Pakistan, but positive depictions of the troop honoring a 7-mAtRka temple.","Battles, war.,Battles, war.:Pivotal events.,Pivotal events."
204,bridge on the river kwai,,"Battles, war.,Battles, war.:Pivotal events.,Pivotal events."
205,tora tora tora!,"Synopsis__:  japanese attack on pearl harbor
Comments__:","Battles, war.,Battles, war.:Pivotal events.,Pivotal events."
206,windtalkers,"Synopsis__:  navajo communicators in ww2
Comments__:","Battles, war.,Battles, war.:Pivotal events.,Pivotal events."
207,silent night,"Synopsis__:  german and american soldiers in german lady's hut
Comments__:","Battles, war.,Battles, war.:Pivotal events.,Pivotal events."
208,U 22 ,"Synopsis__:  capture of the enigma machine
Comments__:","Battles, war.,Battles, war.:Pivotal events.,Pivotal events."
209,the great escape,,"Battles, war.,Battles, war.:Pivotal events.,Pivotal events."
210,enemy at the gates,"Synopsis__:  sniper face off in stalingrad (vasilyy zytsev)
Comments__:","Battles, war.,Battles, war.:Pivotal events.,Pivotal events."
211,Inglorious basterds,"Synopsis__:  a unit of nazi scalping American jews and a jewess in hiding burn a theater full of top Nazis in Paris.
Comments__:  intelligent people, skillful violence.","Battles, war.,Battles, war.:Pivotal events.,Pivotal events."
212,iron eagle,"Synopsis__:  us and ussr airmen surpass sabotage and save the day
Comments__:","Battles, war.:fictional military,Battles, war.,fictional military"
213,officer and gentleman,"Synopsis__:  navy air force officer training is tough
Comments__:","Battles, war.:fictional military,Battles, war.,fictional military"
214,No man's land,"Synopsis__:  the futility of war eg the balkans... soldier in no man's land during cease fire gets left on a mine.
Comments__:","Battles, war.:fictional military,Battles, war.,fictional military"
215,small soldiers,"Synopsis__:  gorgonite toy soldiers beat GI toy soldiers.
Comments__:","Battles, war.:fictional military,Battles, war.,fictional military"
216,troy,"Synopsis__:  achilles wreaks priam
Comments__:  hector","Battles, war.:fictional military,Battles, war.,fictional military"
217,the hunt for the red october,,"Battles, war.:fictional military,Battles, war.,fictional military"
218,kagemusha,"Synopsis__:  the double of takEda shingen tries to hold together while nobunaga oDa and tokugawa iyesu attack.
Comments__:","Battles, war.:fictional military,Battles, war.,fictional military"
219,seven samurai,"Synopsis__:  seven samurai hired - in exchange of rice - array villagers and guard village from bandits whose strength they first reduce in a surprise attack, suffering heavy losses, showing noble character.
Comments__:","Battles, war.:fictional military,Battles, war.,fictional military"
220,star trek undiscovered country,,"Battles, war.,Space military,Battles, war.:Space military"
221,star trek: First Contact,"Synopsis__: Piccard vs the Borg
Comments__: 4/4.","Battles, war.,Space military,Battles, war.:Space military"
222,star trek nemesis,"Synopsis__: Piccard vs the Reman warlord intent on destroying earth. Sacrifice of Data.
Comments__:","Battles, war.,Space military,Battles, war.:Space military"
223,star trek,"Synopsis__: the energy ribbon
Comments__:","Battles, war.,Space military,Battles, war.:Space military"
224,star trek wrath of khan,"Synopsis__:  they spoilt the great khAn from TOS space seed into a twisted vengeful Captain Ahab
Comments__:","Battles, war.,Space military,Battles, war.:Space military"
225,star trek insurrection,"Synopsis__:  piccard leads insurrection from a planet destroyed for some precious resource.
Comments__:","Battles, war.,Space military,Battles, war.:Space military"
226,independence day,"Synopsis__:  initially successful aliens downed by a computer virus plus a specially delivered nuke.
Comments__:","Battles, war.,Space military,Battles, war.:Space military"
227,Serenity,"Synopsis__: Psychic athletic warrior unstable girl rescued from the alliance leads a outer planets crew to a planet with mass death resulting from alliance control-experiment, whence a video is broadcast despite ruthless opposition by a skilled alliance assassin and impediment by cannibalistic ""revears"" resulting from same experiment.
Comments__: 4/4.","Battles, war.,Space military,Battles, war.:Space military"
228,empire of the sun,"Synopsis__:  allied pow in jap camp in china
Comments__:","Cruelty and suffering.:WW2.,WW2.,Cruelty and suffering."
229,the pianist,"Synopsis__:  polish jew survives nazis
Comments__:","Cruelty and suffering.:WW2.,WW2.,Cruelty and suffering."
230,schindler's list,,"Cruelty and suffering.:WW2.,WW2.,Cruelty and suffering."
231,planet of the apes (new),"Synopsis__:  same as the original with a new climactic battle near the downed space shuttle.
Comments__:","Relationships with earth species reimagined,General Science fiction and fantasy,General Science fiction and fantasy:Relationships with earth species reimagined"
232,rise of the planet of apes,"Synopsis__:  genetically modified apes rebel and flee to Muir woods, CA.
Comments__:","Relationships with earth species reimagined,General Science fiction and fantasy,General Science fiction and fantasy:Relationships with earth species reimagined"
233,Dawn of the planet of the apes,"Synopsis__: WIth humanity dwindled due to the simian virus that made apes intelligent(er), SF survivors and the Muir woods ape colony make contact. War and peace are proposed in both camps. Betrayal and coups among the apes are interesting.
Comments__: Fairly predictable and explicit.","Relationships with earth species reimagined,General Science fiction and fantasy,General Science fiction and fantasy:Relationships with earth species reimagined"
234,war for the planet of the apes,"Synopsis__: simian virus has mutated and is making humans dumber and loose speech. apes keep getting eliminated, captured and pressed into labor by army remnants. army remnants are destroyed by infighting triggered by different views on how to control the virus in the dumbed humans. caesar and co rescue the apes and lead them to a desert
Comments__: Predictable. There is some interesting ape betrayal and u-turns.","Relationships with earth species reimagined,General Science fiction and fantasy,General Science fiction and fantasy:Relationships with earth species reimagined"
235,Terra Nova,"Synopsis__:  lottery winners from polluted overpopulated 2049 colonize jurrasic earth of an alternate timestream
Comments__:  cliche, not worth it after 4 episodes","General Science fiction and fantasy:Colonies,Colonies,General Science fiction and fantasy"
236,Contagion,"Synopsis__:  A bat-flu virus crosses over to pigs, kills many people leading to great unrest before a vaccine is developed and distributed.
Comments__:","General Science fiction and fantasy:Disease,General Science fiction and fantasy,Disease"
237,k pax,"Synopsis__: After claiming he is an extraterrestrial from the planet 'K-PAX', prot is committed to the Psychiatric Institute of Manhattan. Dr. Powell introduces him to a group of astrophysicists, to whom prot displays a level of knowledge that puzzles them. prot also exhibits total control over the other patients at the Institute, each of whom believes unquestioningly that he is indeed from K-PAX. prot, who claims to have journeyed to Earth by means of ""light-travel"", explains that he can take one person with him when he returns. Thereafter, most of the patients at the Institute ask to be taken by K-PAX on his journey back home.  Powell decides to subject prot to regression hypnosis, which works well. Using information gained from these sessions, Powell figures out that prot may simply be an alter ego of Robert Porter, a man from New Mexico whose life had been devastated by the murder of his wife and child in 1996.On July 27 as the hospital staff watch, the camera in Porter/prot's room cuts to static at the precise time prot said he would leave Earth. Powell finds Porter lying on the floor in his room, catatonic, prot having apparently left Porter's body for the light travel back to K-PAX.
The final scene's voiceover is prot explaining to Powell that the people of K-PAX have discovered that our universe will repeat its events again and again, so the mistakes we make will be repeated forever, and prot encourages Powell to make this time count as it is the only chance we have. With this in mind, Powell reconciles with his estranged son.

Comments__:","General Science fiction and fantasy:Strange Psychic/ super powers,Strange Psychic/ super powers,General Science fiction and fantasy"
238,phenomenon,"Synopsis__:  rural american man with supernatural abilities and new naive-semi-genius
Comments__:","General Science fiction and fantasy:Strange Psychic/ super powers,Strange Psychic/ super powers,General Science fiction and fantasy"
239,e t,"Synopsis__:  alien makes first contact with a kid who helps him return, defying government powers.
Comments__:","General Science fiction and fantasy:Noble aliens with ignoble humans,Noble aliens with ignoble humans,General Science fiction and fantasy"
240,close encounters of the third kind,"Synopsis__:  aliens make first contact with humanity the film tries to capture the strangeness involved - the music and choice of humans to go with the aliens.
Comments__:","General Science fiction and fantasy:Noble aliens with ignoble humans,Noble aliens with ignoble humans,General Science fiction and fantasy"
241,Epoch,"Synopsis__: Mysterious alien objects dangles on a point in Bhutan.
It has terraformed the earth in the past. Heals people.
Responds to Chinese attack by striking back, sparing pilots. Begins terraforming. Americans try to nuke it. Two scientists try to stop the bomb. Alien survives nuke, changes mind, goes home.
Comments__:","General Science fiction and fantasy:Noble aliens with ignoble humans,Noble aliens with ignoble humans,General Science fiction and fantasy"
242,2001 space odyssey,,"AI vs Humanity,General Science fiction and fantasy:AI vs Humanity,General Science fiction and fantasy"
243,i robot,"Synopsis__: sonny et the murder et the detective
Comments__:","AI vs Humanity,General Science fiction and fantasy:AI vs Humanity,General Science fiction and fantasy"
244,demolition man,"Synopsis__:  old law-man in the more nonviolent, autocratic new world
Comments__:","General Science fiction and fantasy:Post-apocalyptic/ dystopic scenarios,General Science fiction and fantasy,Post-apocalyptic/ dystopic scenarios"
245,waterworld,,"General Science fiction and fantasy:Post-apocalyptic/ dystopic scenarios,General Science fiction and fantasy,Post-apocalyptic/ dystopic scenarios"
246,postman,"Synopsis__:  poast apocalypse usa rebuilt by intrepid postman
Comments__:","General Science fiction and fantasy:Post-apocalyptic/ dystopic scenarios,General Science fiction and fantasy,Post-apocalyptic/ dystopic scenarios"
247,gattaca,"Synopsis__: genetic engineering and biased society
Comments__:","General Science fiction and fantasy:Post-apocalyptic/ dystopic scenarios,General Science fiction and fantasy,Post-apocalyptic/ dystopic scenarios"
248,sphere,"Synopsis__:  the perfect sphere from future black hole fulfils all wishes including making itself go away.
Comments__:","General Science fiction and fantasy:Post-apocalyptic/ dystopic scenarios,General Science fiction and fantasy,Post-apocalyptic/ dystopic scenarios"
249,supernova,"Synopsis__:  alien infinite matter creating bomb gets discovered, changing a few humans, survivors escape resultant supernova.
Comments__:","General Science fiction and fantasy:Post-apocalyptic/ dystopic scenarios,General Science fiction and fantasy,Post-apocalyptic/ dystopic scenarios"
250,solaris,"Synopsis__: planet which studies spacecraft
Comments__:","General Science fiction and fantasy:Post-apocalyptic/ dystopic scenarios,General Science fiction and fantasy,Post-apocalyptic/ dystopic scenarios"
251,mission to mars,"Synopsis__:  travel from the martian face to the home of the progenitor race
Comments__:","General Science fiction and fantasy:Post-apocalyptic/ dystopic scenarios,General Science fiction and fantasy,Post-apocalyptic/ dystopic scenarios"
252,Journey to the far side of the sun,"Synopsis__:  An exact copy of the earth on the opposite side of the sun
Comments__:  curious, futurustic, pioneering, but mediocre from today's perspective.","General Science fiction and fantasy:Post-apocalyptic/ dystopic scenarios,General Science fiction and fantasy,Post-apocalyptic/ dystopic scenarios"
253,Children of men,"Synopsis__: Everyone is infertile for many years, suddenly there is a pregnant woman - who must be transported to safety, despite a tyrannical anti-immigrant british government to a rebel scientific coalition.
Comments__:","General Science fiction and fantasy:Post-apocalyptic/ dystopic scenarios,General Science fiction and fantasy,Post-apocalyptic/ dystopic scenarios"
254,dungeons and dragons,"Synopsis__: elves too
Comments__:","General Science fiction and fantasy:General fantasy,General Science fiction and fantasy,General fantasy"
255,The hobbit: an unexpected journey,"Synopsis__: Predictable, childish.
Comments__:","General Science fiction and fantasy:General fantasy,General Science fiction and fantasy,General fantasy"
256,Game of thrones,"Synopsis__:  4/4. video adaptations of George RR Martin's great Songs of Ice and Fire, faithful to the book, good character development.
Comments__:","General Science fiction and fantasy:General fantasy,General Science fiction and fantasy,General fantasy"
257,rAmAyaNa,Story is dragged unartfully at times.,"dharma,Relationships, society and morals,Relationships, society and morals:dharma"
258,mahabharata,,"dharma,Relationships, society and morals,Relationships, society and morals:dharma"
259,mohalla assi,"Synopsis__: ""मोहल्ला अस्सि"" नामकं चलच्चित्रं दृष्टम्। अन्तरङ्गे क्षोभ उद्भवत्य् अस्माकं स्थितिं चिन्तयित्वा। क्षात्रे धर्मभ्रंशः (म्लेच्छशासनम्,भूहरणम्, आङ्ग्लपूरणम्, मूर्खप्रजाप्रभुत्वम्, अतिशयारक्षणम्, सद्ब्राह्मणासमर्थनम्) →  दारिद्र्यम् (विशिष्य भारतीयसंस्कृतेर् अध्येतृषु), लोभोऽपि कश्चित् → विक्रयणम् → आत्मविस्मृतिर् व्यापिनी → जुगुप्सा क्वचित् → कामेनार्थेन च साकम् भारतीय-सत्त्वस्य रक्षणम् तैः।

""Based on Dr. Kashinath Singh's Hindi novel 'Kashi Ka Assi', a religious satire based on the commercialization of the pilgrimage city, and fake gurus who lure the visitors and tourists."" मुख्यपात्राणि - कश्चित् पाण्डेयविद्वान् साम्प्रदायिकः तत्पत्नी च, तत्प्रलुब्ध-परिवेषि-ब्रह्मबन्धवः, कश्चिद् भ्रष्टब्राह्मणो हिन्दिसाहित्यविद्वान् यो विदेशिप्रेक्षकान् नयति, कश्चिन् नापितश् चतुरः कामुकश्च यस् स्वबुद्धिप्रभावेन श्वेतस्त्रीं परिणीय योगगुरुर् जायते, कामातुरा श्वेतजनाः येषु केचनाध्यात्मजिज्ञासवोऽपि। मुख्यस्थानानि - गङ्गातीरे पुरोहितानाम् उपवेशनस्थानम्, चायविपणी यत्र नानाचर्चाः प्रवर्तन्ते, संस्कृतपाठशाला, श्वेतत्वग्भ्यो दत्तानि प्रकोष्ठानि।

""Prior to its release Mohalla Assi leaked online on 11 August 2015. The film has been banned by the CBFC on 8th April 2016.""
Comments__: मार्मिकरीत्या कथा कथिता।","dharma,Relationships, society and morals,Relationships, society and morals:dharma"
260,Life of Pi,"Synopsis__: The nature of myth, really. Story 1: A shipwreck leaves a Indian (hindu/ all religions are ok) boy (son of a rationalist father and veg spiritual mother), a tiger, a zebra with a broken leg, an orangutan, hyena on a life-boat. Hyena kills zebra for food, tries to kill the boy, later the Orangutan (distressing the boy). Tiger kills the hyena, eats leftovers of everything. Boy escapes and survives in self-made raft tied to boat, lives on rations, becomes non-veg, catches fish feeds tiger, rescues tiger from the sea when it jumps in sea to get to him. Tames tiger _eventually_. Sees beauty (bioluminiscence, clear water and skies, flying fish), fierce power and awe of strum and dang. Gets respite on a mangrove which turns deadly at night, reaches mexico.
Story 2: hyena: cruel but practical cook (makes raft to catch fish etc..). zebra with broken leg: sailor killed for bait. orangutan = boy's mother - accidentally killed by cook when arguing with hyena to leave boy alone. boy kills cook in rage (cook doesn't resist) - saddened to have been turned to a beast, but uses his carcass for bait. (deadly but respiteful island - represents some psychological state?)

Comments__: Stupendous climax despite hard-to-stand (for those like me) start. Rich in visual beauty.
Reaffirms the role of religous myth in understanding nature, human nature and hope (after abstracting away gory bloody lesser facts by allegory).
The hero, that  crafted such a deep, imaginatively rich allegory, HAD to be a hindu. Few other (extant, major) cultures can easily produce an equivalent.","dharma,Relationships, society and morals,Relationships, society and morals:dharma"
261,The legend of bagger vance,"Synopsis__:  Modern retelling of the gItA Bagger vance (bhagavAn) causes R junah (arjuna) to regain excellence in golf after being broken by war experience and other failures - knowing the field, how to stop thinking without sleeping, just play - forget winning, give it all you got
Comments__:","dharma,Relationships, society and morals,Relationships, society and morals:dharma"
262,philadelphia,"Synopsis__:  lawyer with aids fights against unfair dismissal
Comments__:","Justice and revenge.,Relationships, society and morals,Relationships, society and morals:Justice and revenge."
263,under suspicion,"Synopsis__:  rich old man married to young beauty in an island breaks down and falsely confesses killing prostitutes
Comments__:","Justice and revenge.,Relationships, society and morals,Relationships, society and morals:Justice and revenge."
264,the untouchables,"Synopsis__:  prohibition era anti capone cops.
Comments__:","Justice and revenge.,Relationships, society and morals,Relationships, society and morals:Justice and revenge."
265,sholay,,"Justice and revenge.,Relationships, society and morals,Relationships, society and morals:Justice and revenge."
266,don,,"Justice and revenge.,Relationships, society and morals,Relationships, society and morals:Justice and revenge."
267,Old Boys,"Synopsis__: In Korea, a rumour of pregnancy caused one of two high-school lovers (who happened to be siblings) to die. Slow revenge for O Dae Suh who started the story chain - imprisoned, wife killed, daughter missing, released after 15 years without explanation- hypnotized to fall in love with each other.. Dae Suh figures out the reason behind his suffering, aided by the vengeful brother. Ultimately puts his demons to rest by hypnosis.
Comments__: Very moving. To find love and peace, a sense of home in another, to sacrifice to protect this other. How fate can make it happen between odd couples.","Justice and revenge.,Relationships, society and morals,Relationships, society and morals:Justice and revenge."
268,the freshman,"Synopsis__: pet smuggling under genius don
Comments__:","Feud, loyalty, obstinacy.,Relationships, society and morals:Feud, loyalty, obstinacy.,Relationships, society and morals"
269,The goodfellas,"Synopsis__:  making, defeat and turning of a fornicating semi-Irish associate of a NY mafia family - the allure of belonging and making money
Comments__:","Feud, loyalty, obstinacy.,Relationships, society and morals:Feud, loyalty, obstinacy.,Relationships, society and morals"
270,road to perdition,"Synopsis__:  the irish hitman seeks revenge for the family
Comments__:","Feud, loyalty, obstinacy.,Relationships, society and morals:Feud, loyalty, obstinacy.,Relationships, society and morals"
271,Capone,"Synopsis__:  prohibition era Chicago Italian mobster.
Comments__:","Feud, loyalty, obstinacy.,Relationships, society and morals:Feud, loyalty, obstinacy.,Relationships, society and morals"
272,Samurai rebellion,"Synopsis__:  a samurai, his son and daughter-in-law obstinately (eventually violently) defy the cruel demand of their lord and clan
Comments__:  the courage contrasts well with the cowardice and accomodation of others.","Feud, loyalty, obstinacy.,Relationships, society and morals:Feud, loyalty, obstinacy.,Relationships, society and morals"
273,Breaking bad,"Synopsis__: 50 yr old High school Chemistry teacher with disabled kid, pregnant wife, second job, low money, low respect breaks bad - makes drugs. 
Comments__: underdog's success, moral compromise, tough relatives.
Formulaic: violence, mild sex scenes.","Relationships, society and morals:Morals.,Morals.,Relationships, society and morals"
274,caught,"Synopsis__: dirfter et fishmonger et son and wife with whom he has an affair (bhAvas jugupsA, bhaya).
Comments__:","Relationships, society and morals:Morals.,Morals.,Relationships, society and morals"
275,The graduate,"Synopsis__:  a jist-graduated polite 21 year old seduced into an affair by a manipulative lying woman whose daughter he later successfully woos after an adventure
Comments__:  reveals social price paid for immorality,(bhAvas jugupsA, bhaya, pramAda, vIra).","Relationships, society and morals:Morals.,Morals.,Relationships, society and morals"
276,forrest gump,"Synopsis__:  simpleton's deep wisdom is a critique of half-baked self-understanding of more complicated folk.
Comments__:","Relationships, society and morals:Morals.,Morals.,Relationships, society and morals"
277,Citizen Kane,,"Relationships, society and morals:Morals.,Morals.,Relationships, society and morals"
278,rashomon,"Synopsis__:  bandit captures couple, rapes wife, kills husband - all 3 tell different tales, a witness steals a dagger, clever cynic listening to story figures it out, steals something from a baby. Thus, everyone acts in his own self-interest. Ultimately witness does a good thing by adapting a child, restoring a priest's faith in humanity
Comments__:  don't see why it is so highly rated - mediocre.","Relationships, society and morals:Morals.,Morals.,Relationships, society and morals"
279,,,"Relationships, society and morals:Morals.,Morals.,Relationships, society and morals"
280,mystic river,"Synopsis__:  how 3 pals turn out diferrently and few live
Comments__:","Relationships, society and morals:Morals.,Morals.,Relationships, society and morals"
281,Colbert report,"Synopsis__: funny anti republican show.
Comments__:","Relationships, society and morals:Satire.,Satire.,Relationships, society and morals"
